,Mar_16_Provisions,Mar_14_Provisions,Mar_13_Sundry_Debtors,Mar_16_Total_Liabilities,Mar_16_Cash_and_Bank,Mar_15_Misc_Expenses,Mar_15_Total_Liabilities,Mar_17_Net_Current_Assessts,Mar_15_Gross_Block,Mar_14_Misc_Expenses,Mar_14_Secured_Loan,Mar_15_Total_Assests,Mar_15_Share_Capital,Mar_13_Misc_Expenses,Mar_13_Reserves_Surplus,Mar_16_Share_Capital,Mar_14_Net_Worth,Mar_16_Depreciation,Mar_16_Total_Current Liabilities,Mar_16_Investments,Mar_14_Share_Capital,Mar_17_Loans_And_Advances,Mar_15_Net_Block,Mar_13_Unsecured_Loan,Mar_17_Misc_Expenses,Mar_15_Reserves_Surplus,Mar_13_Net_Block,Mar_13_Net_Worth,Mar_15_Investments,Mar_14_Net_Current_Assessts,Mar_16_Unsecured_Loan,Mar_17_Total_Current_Assets,Mar_15_Secured_Loan,Mar_15_Total_Current Liabilities,Mar_15_Capital_Work_In_Progress,Mar_15_Current_Liabilities,Mar_16_Reserves_Surplus,Mar_13_Capital_Work_In_Progress,Mar_15_Unsecured_Loan,Mar_13_Depreciation,Mar_13_Net_Current_Assessts,Mar_16_Inventories,Mar_13_Total_Assests,Mar_14_Reserves_Surplus,Mar_14_Total_Liabilities,Mar_13_Total_Current_Assets,Mar_13_Total_Current Liabilities,Mar_13_Inventories,Mar_17_Inventories,Mar_13_Investments,Mar_15_Total_Current_Assets,Mar_15_Net_Worth,Mar_15_Net_Current_Assessts,Mar_13_Cash_and_Bank,Mar_14_Capital_Work_In_Progress,Mar_13_Share_Capital,Mar_13_Total_Liabilities,Mar_16_Misc_Expenses,Mar_17_Current_Liabilities,Mar_14_Sundry_Debtors,Mar_16_Net_Current_Assessts,Mar_13_Loans_And_Advances,Mar_15_Loans_And_Advances,Mar_16_Total_Current_Assets,Mar_14_Loans_And_Advances,Mar_16_Gross_Block,Mar_16_Current_Liabilities,Mar_17_Total_Assests,Mar_14_Total_Current_Assets,Mar_16_Secured_Loan,Mar_14_Unsecured_Loan,Mar_14_Total_Assests,Mar_13_Provisions,Mar_17_Total_Liabilities,Mar_17_Investments,Mar_17_Cash_and_Bank,Mar_14_Cash_and_Bank,Mar_13_Gross_Block,Mar_16_Capital_Work_In_Progress,Mar_17_Provisions,Mar_17_Capital_Work_In_Progress,Mar_14_Depreciation,Mar_15_Provisions,Mar_16_Loans_And_Advances,Mar_15_Inventories,Mar_17_Net_Worth,Mar_15_Cash_and_Bank,Mar_16_Sundry_Debtors,Mar_14_Inventories,Mar_16_Net_Block,Mar_17_Total_Current Liabilities,Mar_17_Gross_Block,Mar_14_Total_Current Liabilities,Mar_17_Depreciation,Mar_13_Secured_Loan,Mar_14_Net_Block,Mar_17_Secured_Loan,Mar_17_Sundry_Debtors,Mar_17_Share_Capital,Mar_17_Unsecured_Loan,Mar_16_Net_Worth,Mar_14_Current_Liabilities,Mar_15_Sundry_Debtors,Mar_13_Current_Liabilities,Mar_16_Total_Assests,Mar_17_Net_Block,Mar_17_Reserves_Surplus,Mar_15_Depreciation,Mar_14_Investments,Mar_14_Gross_Block,Mar_18_Provisions,Mar_18_Total_Current_Assets,Mar_18_Loans_And_Advances,Mar_18_Misc_Expenses,Mar_18_Gross_Block,Mar_18_Net_Worth,Mar_18_Investments,Mar_18_Current_Liabilities,Mar_18_Unsecured_Loan,Mar_18_Secured_Loan,Mar_18_Depreciation,Mar_18_Capital_Work_In_Progress,Mar_18_Sundry_Debtors,Mar_18_Net_Block,Mar_18_Total_Liabilities,Mar_18_Cash_and_Bank,Mar_18_Reserves_Surplus,Mar_18_Share_Capital,Mar_18_Inventories,Mar_18_Total_Assests,Mar_18_Total_Current Liabilities,Mar_18_Net_Current_Assessts,Dec_17_Misc_Expenses,Dec_16_Misc_Expenses,Dec_16_Capital_Work_In_Progress,Dec_16_Share_Capital,Dec_17_Gross_Block,Dec_16_Inventories,Dec_13_Loans_And_Advances,Dec_15_Net_Worth,Dec_13_Reserves_Surplus,Dec_13_Sundry_Debtors,Dec_17_Secured_Loan,Dec_14_Loans_And_Advances,Dec_17_Net_Current_Assessts,Dec_15_Total_Assests,Dec_14_Capital_Work_In_Progress,Dec_15_Misc_Expenses,Dec_17_Reserves_Surplus,Dec_17_Investments,Dec_14_Total_Liabilities,Dec_17_Unsecured_Loan,Dec_16_Total_Current Liabilities,Dec_17_Sundry_Debtors,Dec_13_Cash_and_Bank,Dec_15_Reserves_Surplus,Dec_13_Net_Block,Dec_17_Net_Block,Dec_13_Inventories,Dec_15_Capital_Work_In_Progress,Dec_17_Loans_And_Advances,Dec_13_Net_Current_Assessts,Dec_14_Total_Current Liabilities,Dec_16_Gross_Block,Dec_17_Capital_Work_In_Progress,Dec_13_Investments,Dec_15_Cash_and_Bank,Dec_14_Inventories,Dec_14_Secured_Loan,Dec_14_Net_Block,Dec_16_Net_Current_Assessts,Dec_13_Depreciation,Dec_17_Total_Liabilities,Dec_14_Net_Worth,Dec_17_Share_Capital,Dec_17_Inventories,Dec_14_Total_Assests,Dec_14_Net_Current_Assessts,Dec_16_Sundry_Debtors,Dec_13_Share_Capital,Dec_13_Total_Liabilities,Dec_16_Net_Block,Dec_14_Misc_Expenses,Dec_15_Current_Liabilities,Dec_14_Gross_Block,Dec_16_Loans_And_Advances,Dec_13_Capital_Work_In_Progress,Dec_14_Reserves_Surplus,Dec_14_Depreciation,Dec_14_Unsecured_Loan,Dec_15_Secured_Loan,Dec_13_Net_Worth,Dec_14_Cash_and_Bank,Dec_15_Unsecured_Loan,Dec_16_Current_Liabilities,Dec_17_Provisions,Dec_17_Total_Assests,Dec_15_Gross_Block,Dec_16_Unsecured_Loan,Dec_17_Net_Worth,Dec_15_Depreciation,Dec_15_Total_Current_Assets,Dec_14_Provisions,Dec_16_Investments,Dec_17_Total_Current_Assets,Dec_16_Reserves_Surplus,Dec_15_Net_Current_Assessts,Dec_15_Total_Liabilities,Dec_17_Current_Liabilities,Dec_13_Secured_Loan,Dec_14_Investments,Dec_16_Cash_and_Bank,Dec_15_Investments,Dec_15_Provisions,Dec_16_Total_Current_Assets,Dec_16_Provisions,Dec_14_Share_Capital,Dec_16_Total_Assests,Dec_13_Total_Current Liabilities,Dec_14_Total_Current_Assets,Dec_13_Current_Liabilities,Dec_14_Current_Liabilities,Dec_15_Net_Block,Dec_15_Loans_And_Advances,Dec_15_Total_Current Liabilities,Dec_14_Sundry_Debtors,Dec_13_Misc_Expenses,Dec_13_Total_Current_Assets,Dec_13_Unsecured_Loan,Dec_15_Sundry_Debtors,Dec_17_Depreciation,Dec_17_Cash_and_Bank,Dec_17_Total_Current Liabilities,Dec_15_Share_Capital,Dec_13_Total_Assests,Dec_13_Provisions,Dec_16_Total_Liabilities,Dec_15_Inventories,Dec_16_Depreciation,Dec_13_Gross_Block,Dec_16_Secured_Loan,Dec_16_Net_Worth
FAIRCHEM,5.6,3.53,,91.78,0.24,0.0,83.05,25.53,87.87,0.0,23.27,83.05,13.79,,,13.79,47.29,28.78,24.6,0.0,12.54,8.04,61.71,,0.0,43.01,,,0.0,30.66,0.0,57.06,21.69,20.48,7.71,14.99,49.46,,4.55,,,13.42,,34.75,75.1,,,,23.15,,34.1,56.81,13.62,,11.63,,,0.0,30.59,21.28,13.1,,5.09,37.7,6.13,102.19,18.99,122.25,43.23,28.52,4.55,75.1,,122.25,0.01,0.47,0.07,,5.26,0.94,3.21,23.96,5.49,4.91,13.27,70.51,0.16,19.13,15.74,73.41,31.53,97.71,12.57,4.2,,32.8,51.74,25.39,37.61,0.0,63.26,9.04,15.57,,91.78,93.51,32.9,26.15,0.0,56.76,0.87,71.52,8.66,0.0,110.68,85.88,0.01,33.12,0.0,56.58,9.13,3.38,32.03,101.55,142.46,0.4,48.28,37.61,30.43,142.46,33.99,37.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCL,0.13,0.72,11.37,86.74,2.79,0.0,71.75,27.06,11.89,0.0,0.73,71.75,22.46,0.0,43.37,22.46,60.11,1.89,10.24,48.37,11.23,9.82,10.52,0.0,0.0,48.27,6.35,54.6,38.52,29.12,0.0,38.86,1.01,13.06,0.03,10.75,61.23,0.0,0.0,0.72,22.64,5.73,58.09,48.88,60.84,33.45,10.81,4.19,6.53,29.1,35.74,70.73,22.68,9.1,0.0,11.23,58.09,0.0,11.71,17.11,26.31,8.79,11.43,36.55,13.16,13.94,10.12,96.56,44.34,3.04,0.0,60.84,0.66,96.56,53.17,1.74,8.14,7.07,0.0,0.1,0.0,0.91,2.31,8.87,4.75,95.6,2.71,19.16,5.93,12.05,11.81,18.81,15.22,2.48,3.49,6.79,0.96,20.76,22.26,0.0,83.69,14.5,16.85,10.15,86.74,16.33,73.34,1.37,24.94,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FCONSUMER,5.67,3.58,13.72,1273.67,21.88,0.0,1469.19,458.85,324.37,0.0,10.37,1469.19,994.29,0.0,-16.17,1011.22,953.24,22.48,142.5,651.72,958.79,291.56,306.7,0.0,0.0,-68.99,261.61,942.61,728.8,221.02,0.0,737.5,543.89,82.74,0.31,76.49,-129.88,0.05,0.0,1.55,170.97,90.74,943.38,-5.55,963.6,239.43,68.46,29.58,141.52,510.76,516.12,925.3,433.38,3.43,0.0,958.79,943.38,0.0,267.13,24.94,297.36,192.71,279.34,439.87,218.09,324.62,136.83,1409.03,274.23,392.33,0.0,963.6,2.8,1409.03,636.03,27.92,5.15,263.15,22.45,11.53,84.35,11.41,6.25,183.83,81.13,1136.67,30.71,143.41,26.04,302.14,278.65,247.35,53.2,17.54,0.77,286.01,272.36,276.51,988.36,0.0,881.34,49.62,124.93,65.66,1273.67,229.81,148.31,17.67,456.58,297.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FDC,30.74,55.96,44.76,1044.76,13.5,0.0,930.48,92.25,609.15,0.0,0.0,930.48,17.86,0.0,760.97,17.86,840.49,256.62,181.34,292.39,17.86,39.98,380.88,1.24,0.0,911.23,275.98,779.71,495.6,128.1,0.79,276.64,0.0,209.07,28.8,145.33,1026.12,7.22,0.9,158.18,74.72,130.24,780.95,822.14,841.56,252.36,177.64,97.45,136.22,422.45,233.78,929.59,24.71,34.9,18.1,18.16,780.95,0.0,159.18,58.62,61.56,75.24,39.89,242.9,155.07,927.52,150.61,1264.42,334.3,0.0,1.07,841.56,52.44,1264.42,491.35,22.98,20.02,434.74,19.92,25.21,6.32,178.86,63.75,34.88,121.53,1263.72,11.66,64.28,100.59,670.89,184.39,739.83,206.2,65.33,0.0,271.64,0.0,77.46,17.86,0.69,1043.98,150.23,60.7,125.2,1044.76,674.5,1245.86,227.78,423.22,450.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEDERALBNK,0.0,0.0,,89439.49,5419.81,0.0,80871.37,83818.71,440.05,0.0,5687.96,80871.37,171.33,,,343.79,6950.59,0.0,1990.54,22217.49,171.06,78839.2,440.05,,0.0,7566.8,,,24409.19,47827.02,79171.71,86291.37,2308.24,1979.11,26.58,1979.11,7747.43,,70824.99,,,0.0,,6779.53,72369.83,,,,0.0,,57974.65,7738.14,55995.54,,22.62,,,0.0,2472.66,0.0,66702.02,,53194.66,68692.56,45521.96,504.22,1990.54,112509.28,50051.34,2176.57,59731.28,72369.83,,112504.27,28196.09,7452.17,4529.38,,15.76,0.0,14.92,0.0,0.0,63272.75,0.0,8942.38,4780.0,0.0,0.0,504.22,2472.66,474.54,2224.32,0.0,,402.33,5897.32,0.0,344.81,97664.56,8091.22,2224.32,0.0,,89439.49,474.54,8592.56,0.0,24117.85,402.33,0.0,107075.51,97872.1,0.0,448.08,12210.24,30781.07,2577.73,111992.49,11533.5,0.0,9.29,0.0,448.08,135736.22,9203.41,11810.8,394.43,0.0,135741.23,2577.73,104497.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FIEMIND,16.7,10.93,68.82,382.18,3.68,0.0,313.14,24.61,478.21,0.0,86.66,313.14,11.96,0.0,156.23,11.96,197.1,176.0,276.3,0.66,11.96,63.44,334.17,0.0,0.0,215.37,292.64,168.19,0.38,-28.83,0.0,307.51,85.81,188.18,4.63,173.94,261.06,1.48,0.0,91.6,-19.43,66.13,274.73,185.14,284.31,138.65,158.08,48.67,102.42,0.05,162.15,227.33,-26.03,1.53,0.03,11.96,274.73,0.0,276.44,76.37,-45.83,19.63,20.77,230.47,21.09,591.76,259.59,606.97,141.63,109.15,0.55,284.31,8.16,606.97,83.98,22.84,1.81,384.25,11.59,6.46,5.63,111.6,14.23,42.05,51.39,423.34,3.32,118.6,42.35,415.76,282.9,707.3,170.46,214.55,106.54,312.98,183.62,118.82,13.16,0.0,273.03,159.53,86.67,149.92,382.18,492.74,410.18,144.04,0.13,424.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FILATEX,5.66,3.33,137.54,654.91,12.54,0.0,547.09,196.12,548.44,0.0,346.68,547.09,32.0,0.0,125.56,44.94,154.42,179.58,225.92,0.01,30.59,84.4,388.29,20.0,0.0,138.33,398.9,149.56,0.0,168.96,99.19,451.92,303.06,169.39,2.36,164.93,164.6,3.85,73.7,119.31,106.38,98.57,509.13,123.83,568.35,341.87,235.5,90.41,149.14,0.0,325.83,170.33,156.45,70.39,0.59,24.0,509.13,0.0,248.88,214.37,144.52,43.54,42.78,370.44,64.6,671.94,220.26,774.09,377.89,346.19,67.25,568.35,3.76,774.09,0.08,14.79,32.17,518.21,18.02,6.92,5.83,139.84,4.46,42.97,118.52,289.55,15.44,216.36,66.76,492.36,255.8,777.9,208.94,205.84,339.56,398.8,396.94,203.59,43.5,87.6,209.54,205.6,149.1,231.74,654.91,572.06,246.05,160.16,0.0,538.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FINCABLES,61.65,90.88,149.65,1493.38,218.82,0.0,1316.05,558.93,1084.75,0.0,125.0,1316.05,30.59,0.0,893.73,30.59,1103.37,673.2,324.89,616.5,30.59,59.84,463.79,19.17,0.0,1234.22,412.11,924.32,494.22,320.38,0.75,847.13,50.03,317.71,6.67,270.81,1437.04,35.73,1.21,504.27,314.65,336.81,1086.58,1072.78,1230.06,632.21,317.56,329.63,462.01,324.09,669.08,1264.81,351.37,39.81,10.7,30.59,1086.58,0.0,271.64,145.17,448.91,113.12,93.48,773.8,91.86,1098.03,263.24,1877.82,654.29,25.0,1.69,1230.06,79.32,1877.82,895.87,200.89,64.86,916.38,3.14,16.56,8.15,552.52,46.9,92.25,318.62,1877.44,138.37,125.92,352.4,424.83,288.2,516.58,333.91,101.71,143.09,495.84,0.0,124.39,30.59,0.38,1467.63,243.03,118.61,238.24,1493.38,414.87,1846.85,620.96,403.14,1048.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLEXITUFF,6.99,10.55,215.44,934.08,26.21,0.0,912.11,423.51,819.7,0.0,260.94,912.11,24.88,0.0,289.33,24.88,359.93,201.83,300.96,1.29,24.88,152.35,676.86,41.45,0.0,349.2,411.0,312.32,1.28,222.9,229.34,710.99,324.92,321.57,4.5,312.11,353.21,33.66,213.11,75.35,173.55,106.76,628.68,335.05,808.98,453.79,280.24,108.33,152.2,10.47,551.05,374.08,229.47,23.83,99.71,22.98,628.68,0.0,278.04,237.3,238.81,106.2,136.43,539.77,137.82,883.43,293.97,1096.54,500.73,326.64,188.11,808.98,12.07,1096.54,1.3,23.85,26.32,486.36,12.39,9.44,30.3,99.38,9.46,87.06,121.85,386.71,29.63,319.73,99.28,681.6,287.48,905.74,277.83,264.31,274.92,485.1,454.06,382.6,24.88,255.77,378.1,267.28,263.14,268.17,934.08,641.42,361.83,142.84,1.26,584.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLFL,19.45,13.74,0.0,2538.78,14.62,0.0,2719.12,647.91,1611.46,0.0,1341.92,2719.12,37.24,0.0,-0.34,37.92,1291.32,414.99,1442.77,375.43,30.89,609.72,1301.9,0.0,0.0,1532.48,0.0,4.8,343.69,915.31,0.0,2246.41,1149.4,1229.75,172.12,1212.27,1585.32,0.0,0.0,0.0,4.8,1305.0,4.8,1260.43,2633.24,4.81,0.01,0.0,1418.01,0.0,2131.16,1569.72,901.41,0.17,189.54,5.15,4.8,0.0,1585.8,263.2,734.35,4.64,629.1,2177.12,664.15,1657.76,1423.32,2155.41,2222.4,915.54,0.0,2633.24,0.0,2155.41,43.32,29.8,271.08,0.0,186.23,12.7,189.82,395.82,17.48,615.65,1173.17,1673.04,59.66,241.85,1023.97,1242.77,1598.5,1834.12,1307.09,559.76,0.0,1149.86,482.37,188.88,38.0,0.0,1623.24,1293.35,269.23,0.01,2538.78,1274.36,1635.04,309.56,378.53,1545.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMNL,0.0,0.13,47.77,477.06,0.63,0.0,523.99,15.01,355.84,0.0,255.02,523.99,55.85,0.0,257.83,56.17,248.07,25.1,338.19,118.61,55.85,265.56,271.98,109.39,0.0,138.93,314.08,313.68,207.04,125.02,74.87,295.02,268.61,339.75,23.43,339.58,142.97,22.56,60.59,39.45,92.83,10.65,646.87,192.21,645.17,344.66,251.83,0.0,9.3,217.4,361.3,194.78,21.55,0.67,19.0,55.85,646.87,0.0,280.01,42.19,23.8,296.22,331.2,361.99,330.22,192.88,338.19,418.96,380.66,203.05,142.08,645.17,0.07,418.96,117.67,6.54,8.25,353.53,166.87,0.0,153.9,56.95,0.18,323.48,0.0,192.31,1.18,27.24,0.0,167.77,280.01,179.36,255.64,46.98,223.8,297.26,84.57,13.62,56.29,142.09,199.14,255.51,28.92,251.76,477.06,132.39,136.01,83.86,203.89,354.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTIS,25.04,17.27,93.05,4652.81,9.25,0.0,4276.84,909.44,284.37,0.0,134.75,4276.84,462.81,0.0,2795.52,463.13,3709.58,105.73,256.56,2635.5,462.79,1086.86,190.11,542.85,0.0,3216.7,117.59,3205.05,2411.13,1898.59,987.49,1173.67,67.48,882.36,169.0,858.74,3145.14,72.94,529.85,94.73,1606.64,5.83,4203.05,3246.8,4961.24,1881.85,275.21,4.85,5.58,2405.88,2388.95,3679.51,1506.59,108.58,121.35,409.53,4203.05,0.0,240.91,87.29,1668.07,1675.37,2270.37,1924.63,1978.58,277.43,231.52,4896.73,2096.88,57.05,1116.91,4961.24,14.7,4896.73,3602.67,5.69,26.29,212.31,177.54,23.32,199.0,108.13,23.62,1807.22,7.24,4271.86,6.29,102.34,4.72,171.7,264.23,225.03,198.29,39.41,455.15,146.15,288.15,75.54,517.73,336.72,3608.27,181.01,105.06,260.51,4652.81,185.62,3754.14,94.25,2795.15,254.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FOSECOIND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.24,6.39,69.84,19.16,16.93,108.93,82.59,64.3,0.0,10.56,121.73,110.77,0.56,0.0,139.27,0.0,101.45,0.0,58.54,100.58,26.01,102.54,27.82,22.77,11.58,0.76,7.19,66.88,50.46,69.61,1.15,0.08,16.15,13.46,0.0,26.11,99.03,34.05,145.65,97.87,6.39,16.71,101.45,74.75,99.61,6.39,94.78,25.7,0.0,44.13,63.8,13.73,0.0,91.49,37.69,3.58,0.0,88.97,28.09,1.85,51.48,1.85,145.65,66.96,0.65,145.65,40.54,135.61,10.95,0.0,197.02,117.94,83.59,110.77,73.44,0.0,0.03,25.07,0.0,7.89,157.57,7.06,6.39,124.97,51.95,125.21,37.8,39.51,26.42,13.27,52.01,73.11,0.0,118.83,5.81,90.31,47.07,72.53,75.29,6.39,94.78,14.16,124.97,15.88,43.91,61.87,0.0,124.33
FSL,0.0,10.42,,1966.08,36.3,0.0,1850.84,783.1,390.73,0.0,186.9,1850.84,666.31,,,673.32,1380.26,329.79,90.28,1267.85,659.8,478.35,58.48,,0.0,962.02,,,1246.28,309.38,67.57,865.99,219.26,112.1,0.05,100.94,1099.81,,3.25,,,0.0,,720.46,1568.16,,,,0.0,,658.13,1628.33,546.03,,0.05,,,0.0,82.89,185.24,657.83,,398.48,748.12,296.34,368.75,90.28,2185.18,510.36,125.39,1.0,1568.16,,2185.18,1344.99,15.71,28.78,,1.44,0.0,1.62,317.98,11.15,392.26,0.0,1999.4,26.1,319.56,0.0,38.96,82.89,375.2,200.99,319.73,,85.6,108.6,371.93,681.31,77.18,1773.12,190.56,233.55,,1966.08,55.47,1318.09,332.25,1173.13,403.58,0.0,974.41,395.31,0.0,267.41,2134.55,1218.51,98.28,16.25,0.0,211.49,0.24,564.74,55.92,2150.8,14.36,1448.03,686.52,0.0,2150.8,98.28,876.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GABRIEL,45.43,33.24,,387.99,36.24,0.0,331.27,139.21,504.04,0.0,47.04,331.27,14.37,,,14.37,285.17,261.8,283.65,0.02,14.37,101.89,267.66,,0.0,311.07,,,0.02,62.03,7.99,450.15,0.15,285.11,3.1,242.28,365.56,,5.69,,,110.74,,270.81,341.71,,,,131.23,,345.6,325.43,60.49,,12.46,,,0.0,284.13,136.08,113.32,,57.24,396.97,50.38,534.23,238.22,457.87,308.16,0.07,9.49,341.71,,457.87,28.33,5.25,4.88,,2.21,26.81,2.16,206.9,42.82,57.62,112.14,450.15,3.88,192.37,116.82,272.44,310.94,320.15,246.13,31.98,,267.19,0.0,211.79,14.36,7.71,379.93,212.89,172.34,,387.99,288.17,435.79,236.38,0.02,474.1,27.82,531.93,63.71,0.0,348.8,524.88,62.31,340.89,7.21,0.0,52.34,10.1,279.15,296.46,532.09,40.0,510.52,14.36,149.07,532.09,368.72,163.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAEL,9.23,7.94,,1241.89,8.32,0.0,1128.97,668.57,958.1,0.0,393.92,1128.97,27.67,,,27.67,755.04,59.05,175.1,77.17,27.67,58.0,542.79,,0.0,798.23,,,52.44,571.87,0.0,895.92,294.92,153.93,62.94,145.77,892.95,,8.15,,,430.75,,727.37,1156.51,,,,624.35,,624.73,825.9,470.8,,63.58,,,0.0,216.56,149.6,493.92,,67.38,669.02,72.88,627.14,165.87,1481.48,725.55,321.27,7.55,1156.51,,1481.48,47.13,5.79,5.78,,102.71,10.79,158.65,369.94,8.16,56.25,443.69,853.1,5.59,173.7,497.29,568.09,227.35,732.85,153.68,125.72,,479.34,506.96,207.78,22.93,121.42,920.62,145.74,108.07,,1241.89,607.13,830.17,415.31,41.72,849.28,10.61,1026.11,66.13,0.0,968.23,1022.35,42.62,222.19,0.0,639.63,196.48,54.3,229.31,771.75,1661.98,6.94,999.42,22.93,723.73,1661.98,232.8,793.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GAIL,1607.46,1853.0,2551.34,36366.15,1793.87,0.0,37167.81,-665.3,41288.11,0.0,4051.0,37167.81,1268.48,0.0,22959.32,1268.48,27072.33,14509.75,16628.11,4546.68,1268.48,8686.0,27759.69,4884.77,0.0,27851.04,19707.45,24227.8,4322.36,1290.94,3421.28,14450.77,2895.0,15725.42,4360.02,14069.63,29316.39,8977.82,5153.29,11383.8,188.05,1744.85,32592.32,25803.85,36598.42,12279.92,12091.87,1535.33,1698.38,3719.0,16451.16,29119.52,725.74,2357.94,9727.85,1268.48,32592.32,0.0,13602.73,2811.99,-329.8,5835.31,10133.95,16298.31,6786.12,43256.23,15020.65,41153.92,14503.85,2360.0,5475.09,36598.42,1794.86,41153.92,9509.64,1341.85,2650.98,31091.25,3402.79,1513.34,3803.39,12491.03,1655.79,10031.98,2081.05,38149.37,1141.64,2727.61,2254.76,28746.48,15116.07,30824.07,13212.91,2317.88,3479.75,21476.63,1436.75,2724.54,1691.3,1567.8,30584.87,11359.91,3094.52,10297.01,36366.15,28506.19,36458.07,13528.42,4103.0,33967.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
